threshold,signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,any_positive_net_gain
0.05,Z2,none,30,0.03333333333333333,0.007242465997034429,0.007262962962962962,-2.0496965928533798e-05,True
0.05,Z2,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.008290740740740741,-0.011354695418035545,False
0.05,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.05,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.05,Z3,none,30,0.1,0.013370375351624032,0.02823567968297887,-0.014865304331354844,True
0.05,Z3,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.03106452637866691,-0.03412848105596171,False
0.05,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.05,Z3,wrong_mode_probe,30,0.03333333333333333,-0.007242465997034429,0.0237097492147375,-0.030952215211771928,False
0.075,Z1,none,30,0.06666666666666667,0.007264658474454694,0.0,0.007264658474454694,True
0.075,Z1,shuffle_probe,30,0.03333333333333333,-0.00271823785825103,0.0,-0.00271823785825103,False
0.075,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.075,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.075,Z2,none,30,0.03333333333333333,0.009730055126476391,0.007262962962962962,0.0024670921635134265,True
0.075,Z2,shuffle_probe,30,0.03333333333333333,-0.00271823785825103,0.008290740740740741,-0.011008978598991772,False
0.075,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.075,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.075,Z3,none,30,0.1,0.01516653084297845,0.02823567968297887,-0.01306914884000043,True
0.075,Z3,shuffle_probe,30,0.03333333333333333,-0.00271823785825103,0.03106452637866691,-0.033782764236917937,False
0.075,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.075,Z3,wrong_mode_probe,30,0.03333333333333333,-0.009730055126476391,0.0237097492147375,-0.033439804341213894,False
0.1,Z1,none,30,0.06666666666666667,0.011128954608845554,0.0,0.011128954608845554,True
0.1,Z1,shuffle_probe,30,0.03333333333333333,-0.0035803870115404804,0.0,-0.0035803870115404804,False
0.1,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.1,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.1,Z2,none,30,0.03333333333333333,0.013265741981588674,0.007262962962962962,0.006002779018625712,True
0.1,Z2,shuffle_probe,30,0.03333333333333333,-0.0035803870115404804,0.008290740740740741,-0.011871127752281222,False
0.1,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.1,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.1,Z3,none,30,0.1,0.020426516004669635,0.02823567968297887,-0.007809163678309241,True
0.1,Z3,shuffle_probe,30,0.03333333333333333,-0.0035803870115404804,0.03106452637866691,-0.03464491339020739,False
0.1,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.1,Z3,wrong_mode_probe,30,0.03333333333333333,-0.013265741981588674,0.0237097492147375,-0.036975491196326184,False
0.125,Z1,none,30,0.06666666666666667,0.006083241347783521,0.0,0.006083241347783521,True
0.125,Z1,shuffle_probe,30,0.03333333333333333,-0.0028422099435446288,0.0,-0.0028422099435446288,False
0.125,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.125,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.125,Z2,none,30,0.03333333333333333,0.010981194434043882,0.007262962962962962,0.003718231471080917,True
0.125,Z2,shuffle_probe,30,0.03333333333333333,-0.0028422099435446288,0.008290740740740741,-0.01113295068428537,False
0.125,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.125,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.125,Z3,none,30,0.1,0.01666561432113314,0.02823567968297887,-0.011570065361845738,True
0.125,Z3,shuffle_probe,30,0.03333333333333333,-0.0028422099435446288,0.03106452637866691,-0.033906736322211535,False
0.125,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.125,Z3,wrong_mode_probe,30,0.03333333333333333,-0.010981194434043882,0.0237097492147375,-0.034690943648781385,False
0.15,Z1,none,30,0.06666666666666667,0.0009169395585010694,0.0,0.0009169395585010694,True
0.15,Z1,shuffle_probe,30,0.03333333333333333,-0.001102910459223394,0.0,-0.001102910459223394,False
0.15,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.15,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.15,Z2,none,30,0.03333333333333333,0.00800738095887216,0.007262962962962962,0.0007444179959091977,True
0.15,Z2,shuffle_probe,30,0.03333333333333333,-0.001102910459223394,0.008290740740740741,-0.009393651199964135,False
0.15,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.15,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.15,Z3,none,30,0.1,0.010213201877318948,0.02823567968297887,-0.01802247780565993,True
0.15,Z3,shuffle_probe,30,0.03333333333333333,-0.001102910459223394,0.03106452637866691,-0.0321674368378903,False
0.15,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.15,Z3,wrong_mode_probe,30,0.03333333333333333,-0.00800738095887216,0.0237097492147375,-0.03171713017360966,False
0.2,Z1,none,30,0.06666666666666667,0.0015366983926503968,0.0,0.0015366983926503968,True
0.2,Z1,shuffle_probe,30,0.03333333333333333,0.01739401625540263,0.0,0.01739401625540263,True
0.2,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.2,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.2,Z2,none,30,0.03333333333333333,0.010364325330531414,0.007262962962962962,0.0031013623675684486,True
0.2,Z2,shuffle_probe,30,0.03333333333333333,0.01739401625540263,0.008290740740740741,0.009103275514661885,True
0.2,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.2,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.2,Z3,none,30,0.1,-0.024423707180273847,0.02823567968297887,-0.05265938686325271,True
0.2,Z3,shuffle_probe,30,0.03333333333333333,0.01739401625540263,0.03106452637866691,-0.013670510123264281,True
0.2,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.2,Z3,wrong_mode_probe,30,0.03333333333333333,-0.010364325330531414,0.0237097492147375,-0.034074074545268916,False
0.25,Z1,none,30,0.06666666666666667,-0.00125663311332788,0.0,-0.00125663311332788,True
