threshold,signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,any_positive_net_gain
0.1,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.1,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.1,Z2,none,30,0.03333333333333333,0.016469944175272075,0.007262962962962962,0.009206981212309112,True
0.1,Z2,shuffle_probe,30,0.03333333333333333,-0.0042716236669818565,0.008290740740740741,-0.012562364407722596,False
0.1,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.1,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.1,Z3,none,30,0.1,0.02501319150923579,0.028235679682978874,-0.003222488173743088,True
0.1,Z3,shuffle_probe,30,0.03333333333333333,-0.0042716236669818565,0.031064526378666912,-0.035336150045648766,False
0.1,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.1,Z3,wrong_mode_probe,30,0.03333333333333333,-0.016469944175272075,0.023709749214737504,-0.04017969339000958,False
0.125,Z1,none,30,0.06666666666666667,0.011441556015765226,0.0,0.011441556015765226,True
0.125,Z1,shuffle_probe,30,0.03333333333333333,-0.004224817740310122,0.0,-0.004224817740310122,False
0.125,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.125,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.125,Z2,none,30,0.03333333333333333,0.014749678129134356,0.007262962962962962,0.007486715166171392,True
0.125,Z2,shuffle_probe,30,0.03333333333333333,-0.004224817740310122,0.008290740740740741,-0.012515558481050864,False
0.125,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.125,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.125,Z3,none,30,0.1,0.0231993136097546,0.028235679682978874,-0.005036366073224277,True
0.125,Z3,shuffle_probe,30,0.03333333333333333,-0.004224817740310122,0.031064526378666912,-0.03528934411897703,False
0.125,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.125,Z3,wrong_mode_probe,30,0.03333333333333333,-0.014749678129134356,0.023709749214737504,-0.03845942734387186,False
0.15,Z1,none,30,0.06666666666666667,0.005754835566425766,0.0,0.005754835566425766,True
0.15,Z1,shuffle_probe,30,0.03333333333333333,-0.0011675542344097751,0.0,-0.0011675542344097751,False
0.15,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.15,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.15,Z2,none,30,0.03333333333333333,0.011622368520917716,0.007262962962962962,0.004359405557954752,True
0.15,Z2,shuffle_probe,30,0.03333333333333333,-0.0011675542344097751,0.008290740740740741,-0.009458294975150517,False
0.15,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.15,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.15,Z3,none,30,0.1,0.013957476989737266,0.028235679682978874,-0.01427820269324161,True
0.15,Z3,shuffle_probe,30,0.03333333333333333,-0.0011675542344097751,0.031064526378666912,-0.03223208061307669,False
0.15,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.15,Z3,wrong_mode_probe,30,0.03333333333333333,-0.011622368520917716,0.023709749214737504,-0.03533211773565522,False
0.2,Z1,none,30,0.06666666666666667,0.00161971758522369,0.0,0.00161971758522369,True
0.2,Z1,shuffle_probe,30,0.03333333333333333,0.01868844796538353,0.0,0.01868844796538353,True
0.2,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.2,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.2,Z2,none,30,0.03333333333333333,0.011488978131060246,0.007262962962962962,0.004226015168097282,True
0.2,Z2,shuffle_probe,30,0.03333333333333333,0.01868844796538353,0.008290740740740741,0.010397707224642788,True
0.2,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
